Rank,Feature,Importance
1,MaritalStatus_Single,0.057656391704476825
2,Burnout_Risk_Score,0.05591240380254006
3,Overtime_Hours,0.05274321361128256
4,AverageWorkingHours,0.051720172923344486
5,Age,0.051209819535451874
6,TotalWorkingYears,0.04333964110753747
7,YearsAtCompany,0.03856177144526294
8,JobSatisfaction,0.03722890505291117
9,YearsWithCurrManager,0.03533149785971708
10,EnvironmentSatisfaction,0.03295111699825448
11,Manager_Stability,0.03223771120732958
12,Age_When_Joined,0.031563092041332654
13,MonthlyIncome,0.030882397911428335
14,Compa_Ratio_Level,0.029896931594214818
15,DistanceFromHome,0.02624361210252876
16,TrainingTimesLastYear,0.02573065138814508
17,Hike_Per_Performance,0.02514719453100033
18,Prior_Tenure_Avg,0.02479526276642121
19,PercentSalaryHike,0.02447747273234336
20,NumCompaniesWorked,0.02389366049911117
21,BusinessTravel,0.022964059804847555
22,Loyalty_Ratio,0.022925821267046835
23,YearsSinceLastPromotion,0.02000029517002351
24,Promotion_Stagnation,0.01931173182413823
25,Education,0.01795378119691787
26,WorkLifeBalance,0.017083264376033618
27,JobInvolvement,0.01706857714868536
28,JobLevel,0.016035407044908852
29,StockOptionLevel,0.01593312147657639
30,Gender_Male,0.010915315239686413
31,EducationField_Life Sciences,0.01073569286421913
32,JobRole_Sales Executive,0.010642330149762985
33,MaritalStatus_Married,0.009241580211968742
34,EducationField_Medical,0.007442781348516266
35,Department_Research & Development,0.006280179455560332
36,JobRole_Research Scientist,0.006033647464066193
37,Department_Sales,0.005358961170630248
38,JobRole_Laboratory Technician,0.005121215641401298
39,JobRole_Sales Representative,0.004545246093898829
40,JobRole_Research Director,0.004000308534239999
41,PerformanceRating,0.003541430830957153
42,EducationField_Other,0.0031398773619639143
43,EducationField_Marketing,0.0027883401389713074
44,JobRole_Manager,0.0023927239371817834
45,JobRole_Manufacturing Director,0.002348133845599061
46,JobRole_Human Resources,0.00234554665085314
47,EducationField_Technical Degree,0.0023277089367107692
