Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MeanWorkingHours,StdWorkingHours,PercentOvertime,TotalDaysWorked
51,0,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,7.373650622605364,0.28261331061011613,0.0,232
31,1,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,7.718968926553672,0.3126863236159827,17.796610169491526,236
32,0,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,7.013240358126722,0.31090677213142565,0.0,242
38,0,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,7.193678486997636,0.28352765040518163,0.0,235
32,0,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,8.006174603174603,0.3000422081251045,46.93877551020408,245
46,0,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,10.796095874355368,0.3056311803267758,100.0,237
28,1,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,6.92357040229885,0.3239112402875171,0.43103448275862066,232
29,0,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,6.725620713305898,0.27797432440051023,0.0,243
31,0,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,7.236498792270532,0.3100233555884948,0.43478260869565216,230
25,0,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,7.080087844254511,0.28986917549390284,0.0,234
45,0,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,8.403485477178423,0.30768305387685646,92.11618257261411,241
36,0,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0,7.0689545873674495,0.30909056389890444,0.0,241
55,0,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,9.301409509946625,0.28823184255924067,100.0,229
47,1,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,9.399931442080378,0.29164402123340927,100.0,235
28,0,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,6.08968764407561,0.2891520916966751,0.0,241
37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.705174636661979,0.31658961160039184,0.0,237
21,0,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,6.619040626529613,0.31327022569059404,0.0,227
37,0,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,11.014328139114726,0.3090663289971638,100.0,246
35,0,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.960253831417625,0.3142664200661452,0.0,232
38,0,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,9.293555796055797,0.29574617237438894,100.0,231
26,0,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,7.590778256704981,0.3171905047516101,11.637931034482758,232
50,0,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,6.008613495469718,0.29237981596621593,0.0,233
53,0,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,8.402108477011494,0.30233497253421304,90.51724137931035,232
42,0,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0,6.8070052800734615,0.31493420649096804,0.0,242
29,0,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,7.093167388167389,0.32128973768995567,0.4329004329004329,231
55,0,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,9.362002074688794,0.2806541370942173,100.0,241
26,0,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,10.977123430962344,0.2960120191246971,100.0,239
37,0,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,7.604444444444445,0.29520834288575487,9.322033898305085,236
44,1,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,10.97758573388203,0.3111791915984306,100.0,243
38,0,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,6.83127536231884,0.2810106747495631,0.0,230
26,1,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,10.109408263305323,0.3070012088669269,100.0,238
28,0,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,6.709665977961433,0.2993392499226689,0.0,242
49,0,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,10.518214624881292,0.2982052561528591,100.0,234
36,0,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,6.182887517146776,0.27703089122153957,0.0,243
31,0,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,6.586388888888889,0.29779436214355304,0.0,240
