Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageWorkingHours,Overtime_Hours,Loyalty_Ratio,Promotion_Stagnation,Manager_Stability,Prior_Tenure_Avg,Compa_Ratio_Level,Hike_Per_Performance,Burnout_Risk_Score,Attrition_Binary
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,7.373650622605365,-0.6263493773946349,1.0,0.0,0.0,0.0,131160.0,3.6666666666666665,-1.8790481321839048,0
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,7.718968926553672,-0.2810310734463277,0.8333333333333334,0.2,0.8,0.0,41890.0,5.75,-0.2810310734463277,1
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,7.013240358126722,-0.9867596418732782,1.0,0.0,0.6,0.0,48320.0,5.0,-3.947038567493113,0
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,7.193678486997635,-0.8063215130023647,0.6153846153846154,0.875,0.625,1.6666666666666667,27736.666666666668,3.6666666666666665,-1.6126430260047293,0
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,8.006174603174603,0.006174603174603277,0.6666666666666666,0.0,0.6666666666666666,0.75,23420.0,4.0,0.012349206349206554,0
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,10.796095874355368,2.796095874355368,0.25,1.0,1.0,7.0,10177.5,4.333333333333333,8.388287623066104,0
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,6.923570402298851,-1.076429597701149,0.0,0.0,0.0,2.5,29065.0,5.0,-4.305718390804596,1
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,6.725620713305898,-1.274379286694102,0.0,0.0,0.0,5.0,15715.0,5.5,-2.548758573388204,0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,7.236498792270532,-0.7635012077294681,0.9,0.7777777777777778,0.8888888888888888,0.0,6813.333333333333,5.25,-1.5270024154589361,0
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,7.080087844254511,-0.9199121557454886,1.0,0.16666666666666666,0.8333333333333334,0.0,33660.0,4.333333333333333,-1.8398243114909771,0
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,8.403485477178425,0.40348547717842465,0.9523809523809523,0.2,0.5,0.0,39955.0,4.333333333333333,0.8069709543568493,0
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0,7.06895458736745,-0.9310454126325496,0.9375,0.6666666666666666,0.7333333333333333,0.0,33770.0,4.0,-1.8620908252650992,0
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,9.301409509946627,1.3014095099466267,0.972972972972973,0.1111111111111111,0.3611111111111111,0.0,55380.0,5.666666666666667,2.6028190198932535,0
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,9.399931442080378,1.3999314420803781,1.0,0.9,0.9,0.0,57620.0,3.6666666666666665,4.199794326241134,1
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,6.08968764407561,-1.9103123559243897,1.0,0.0,0.8,0.0,25920.0,4.666666666666667,-5.730937067773169,0
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.705174636661979,-1.2948253633380213,0.7142857142857143,0.0,0.2,0.5,26730.0,3.6666666666666665,-1.2948253633380213,0
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,6.619040626529614,-1.380959373470386,1.0,0.3333333333333333,0.0,0.0,42130.0,4.0,-1.380959373470386,0
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,11.014328139114726,3.014328139114726,0.3333333333333333,0.0,0.4,5.0,20635.0,4.333333333333333,6.028656278229452,0
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.960253831417625,-1.0397461685823748,0.7,0.8571428571428571,0.2857142857142857,0.42857142857142855,24380.0,5.333333333333333,-3.1192385057471244,0
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,9.293555796055795,1.293555796055795,1.0,0.875,0.875,0.0,68700.0,3.6666666666666665,2.58711159211159,0
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,7.590778256704982,-0.40922174329501804,1.0,0.16666666666666666,0.6666666666666666,0.0,52235.0,6.0,-1.6368869731800721,0
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,6.008613495469718,-1.9913865045302819,0.35714285714285715,0.1,0.6,6.0,96670.0,5.75,-5.974159513590846,0
