Rank,Feature,Importance
1,AverageWorkingHours,0.06266868997721238
2,TotalWorkingYears,0.061707012004563036
3,Overtime_Hours,0.058527722491270584
4,Burnout_Risk_Score,0.05843007615846906
5,JobSatisfaction,0.056328263085170215
6,Compa_Ratio_Level,0.04326968542721148
7,MonthlyIncome,0.041792350321822845
8,YearsWithCurrManager,0.04159422529906864
9,YearsAtCompany,0.04098548151934291
10,EnvironmentSatisfaction,0.04048558929306237
11,Manager_Stability,0.03592150563176145
12,Prior_Tenure_Avg,0.03545286476670181
13,Hike_Per_Performance,0.032385337785975715
14,WorkLifeBalance,0.02990717014706522
15,DistanceFromHome,0.029409443362302494
16,NumCompaniesWorked,0.027153587781352906
17,Promotion_Stagnation,0.0259439940077589
18,Loyalty_Ratio,0.025652620049617637
19,TrainingTimesLastYear,0.02505599702460673
20,PercentSalaryHike,0.0228322472047251
21,EducationField_Life Sciences,0.017225939254464653
22,YearsSinceLastPromotion,0.016764321246645553
23,Education,0.01587321818760072
24,Gender_Male,0.014765236623470103
25,JobLevel,0.014304908392566413
26,EducationField_Medical,0.014119120963280794
27,JobInvolvement,0.013445518812534805
28,StockOptionLevel,0.012911860846177181
29,JobRole_Sales Executive,0.012032963337690708
30,JobRole_Research Scientist,0.01147506576208115
31,BusinessTravel,0.009521303705018372
32,Department_Research & Development,0.007248834208270527
33,Department_Sales,0.0070194596107728815
34,JobRole_Laboratory Technician,0.0065227614484611104
35,PerformanceRating,0.005503994881785292
36,EducationField_Other,0.003997177052720735
37,JobRole_Manufacturing Director,0.003416359303797786
38,JobRole_Manager,0.003293081004733052
39,EducationField_Marketing,0.0032794568726368326
40,JobRole_Research Director,0.003243789281120816
41,EducationField_Technical Degree,0.0030950400266986974
42,JobRole_Sales Representative,0.0029782455274229495
43,JobRole_Human Resources,0.002458480310987258
